trip_id,date,time,transport_type,route_id,origin_station,destination_station,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,weather_condition,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,season,delayed,is_circular_trip,datetime,sched_dep_datetime,sched_arr_datetime,hour,day_name,is_weekend,month,week_of_year,time_of_day_bucket,total_delay,delay_change,is_early_departure,is_early_arrival,trip_duration_scheduled,severe_delay,transport_type_enc,weather_condition_enc,event_type_enc,season_enc,weather_severity_index,feels_like_impact,event_impact_score,congestion_weather_combo,station_avg_dep_delay,station_delay_rate,route_avg_delay,route_delay_rate,actual_departure_delay_min_z,actual_arrival_delay_min_z,temperature_C_z,humidity_percent_z,wind_speed_kmh_z,precipitation_mm_z,event_attendance_est_z,traffic_congestion_index_z,total_delay_z,delay_change_z,trip_duration_scheduled_z,weather_severity_index_z,feels_like_impact_z,event_impact_score_z,congestion_weather_combo_z,actual_departure_delay_min_mm,actual_arrival_delay_min_mm,temperature_C_mm,humidity_percent_mm,wind_speed_kmh_mm,precipitation_mm_mm,event_attendance_est_mm,traffic_congestion_index_mm,total_delay_mm,delay_change_mm,trip_duration_scheduled_mm,weather_severity_index_mm,feels_like_impact_mm,event_impact_score_mm,congestion_weather_combo_mm
T00000,2023-01-01,05:00:00,Tram,Route_15,Station_31,Station_6,05:02:00,05:55:00,12,3,Storm,5.1,52,46,13,None,500,81,0,1,6,Winter,0,0,2022-12-31T23:30:00Z,2022-12-31T23:32:00Z,2023-01-01T00:25:00Z,5,Sunday,1,1,1,Night,15,-9,0,0,53,0,4,6,0,1,0.7938,2.346,40.5,64.2978,8.88,66.67,13.99,77.68,0.5284,-1.1107,-0.873,-0.6252,0.9673,0.543,-0.3772,1.0524,-0.6273,-1.2122,1.4105,1.682,-0.4372,-0.1859,2.3761,0.6667,0.1875,0.2525,0.3188,0.7797,0.65,0.1,0.8182,0.3654,0.2453,0.8605,0.7973,0.2233,0.0818,0.6864
T00001,2023-01-01,05:15:00,Metro,Route_12,Station_49,Station_32,05:16:00,05:55:00,15,9,Rain,34,64,11,11.4,None,0,53,0,0,6,Autumn,1,0,2022-12-31T23:45:00Z,2022-12-31T23:46:00Z,2023-01-01T00:25:00Z,5,Sunday,1,1,1,Night,24,-6,0,0,39,0,2,4,0,4,0.2838,3.74,0,15.0414,8.04,67.35,14.29,80,1.007,-0.4648,1.6446,-0.0351,-1.06,0.2663,-0.6329,0.0943,0.1785,-0.9454,0.176,-0.7994,-0.1361,-0.5248,-0.4244,0.8095,0.375,0.975,0.4928,0.1864,0.57,0,0.5354,0.5385,0.3019,0.5349,0.2804,0.2833,0,0.1606
T00002,2023-01-01,05:30:00,Bus,Route_16,Station_29,Station_42,05:33:00,06:17:00,0,0,Clear,29.5,35,31,14.1,Sports,0,67,1,0,6,Autumn,0,0,2023-01-01T00:00:00Z,2023-01-01T00:03:00Z,2023-01-01T00:47:00Z,5,Sunday,1,1,1,Night,0,0,0,0,44,0,1,1,5,4,0.4395,9.145,0,29.4465,7.21,72.34,13.16,68.75,-1.3861,-1.4336,1.2526,-1.4612,0.0984,0.7333,-0.6329,0.5733,-1.9702,-0.4118,0.6169,-0.0418,1.0313,-0.5248,0.3946,0.0952,0.0938,0.8625,0.0725,0.5254,0.705,0,0.6768,0.0769,0.4151,0.6512,0.4382,0.5156,0,0.3144
T00003,2023-01-01,05:45:00,Tram,Route_19,Station_26,Station_18,05:49:00,06:08:00,15,10,Clear,27.4,55,41,6.4,None,500,84,0,0,6,Winter,1,0,2023-01-01T00:15:00Z,2023-01-01T00:19:00Z,2023-01-01T00:38:00Z,5,Sunday,1,1,1,Night,25,-5,0,0,19,0,4,1,0,1,0.3364,11.234,42,28.2576,7.39,80.49,13.36,76.84,1.007,-0.3572,1.0696,-0.4777,0.6777,-0.5986,-0.3772,1.155,0.2681,-0.8565,-1.5874,-0.5435,1.4825,-0.1733,0.327,0.8095,0.4062,0.81,0.3623,0.6949,0.32,0.1,0.8485,0.5577,0.3208,0.0698,0.3337,0.6054,0.0848,0.3017
T00004,2023-01-01,06:00:00,Tram,Route_8,Station_18,Station_15,06:00:00,06:35:00,-1,14,Snow,0.1,90,30,18.5,None,500,46,0,0,6,Spring,1,0,2023-01-01T00:30:00Z,2023-01-01T00:30:00Z,2023-01-01T01:05:00Z,6,Sunday,1,1,1,Morning,13,15,1,0,35,0,4,5,0,2,0.8224,0.03,23,37.8304,8.26,74.29,13.31,74.31,-1.5456,0.0734,-1.3085,1.2435,0.0405,1.4943,-0.3772,-0.1452,-0.8063,0.9223,-0.1767,1.8211,-0.9374,-0.3323,0.8713,0.0476,0.5312,0.1275,0.8696,0.5085,0.925,0.1,0.4646,0.3269,0.6981,0.4419,0.8263,0.1238,0.0465,0.4039
T00005,2023-01-01,06:15:00,Metro,Route_17,Station_32,Station_40,06:15:00,06:56:00,7,4,Rain,25.2,44,21,2.3,Protest,0,41,0,0,6,Spring,0,0,2023-01-01T00:45:00Z,2023-01-01T00:45:00Z,2023-01-01T01:26:00Z,6,Sunday,1,1,1,Morning,11,-3,0,0,41,0,2,4,4,2,0.1528,5.292,0,6.2648,9.04,73.47,13.47,78.18,-0.2693,-1.003,0.878,-1.0187,-0.4808,-1.3078,-0.6329,-0.3163,-0.9854,-0.6786,0.3524,-1.4368,0.1991,-0.5248,-0.9234,0.4286,0.2188,0.755,0.2029,0.3559,0.115,0,0.4141,0.2885,0.3585,0.5814,0.1477,0.35,0,0.0669
T00006,2023-01-01,06:30:00,Bus,Route_5,Station_22,Station_32,06:34:00,07:01:00,8,28,Storm,3.6,61,16,6.4,Parade,0,22,1,1,6,Spring,1,0,2023-01-01T01:00:00Z,2023-01-01T01:04:00Z,2023-01-01T01:31:00Z,6,Sunday,1,1,1,Morning,36,20,0,0,27,1,1,6,3,2,0.5093,0.576,0,11.2046,7.28,82.61,13.87,75.51,-0.1098,1.5805,-1.0037,-0.1826,-0.7704,-0.5986,-0.6329,-0.9664,1.2529,1.367,-0.882,0.2978,-0.8195,-0.5248,-0.6425,0.4762,0.9688,0.215,0.4493,0.2712,0.32,0,0.2222,0.7692,0.7925,0.2558,0.509,0.1473,0,0.1196
T00007,2023-01-01,06:45:00,Bus,Route_16,Station_38,Station_9,06:47:00,07:20:00,0,23,Clear,34.1,41,19,0.6,None,0,85,0,0,6,Spring,1,0,2023-01-01T01:15:00Z,2023-01-01T01:17:00Z,2023-01-01T01:50:00Z,6,Sunday,1,1,1,Morning,23,23,0,0,33,1,1,1,0,2,0.1086,6.479,0,9.231,10.91,73.33,13.16,68.75,-1.3861,1.0422,1.6533,-1.1662,-0.5966,-1.6018,-0.6329,1.1892,0.089,1.6338,-0.353,-1.6518,0.4555,-0.5248,-0.7547,0.0952,0.8125,0.9775,0.1594,0.322,0.03,0,0.8586,0.5192,0.8491,0.3953,0.1029,0.401,0,0.0985
T00008,2023-01-01,07:00:00,Tram,Route_6,Station_17,Station_37,07:01:00,07:59:00,4,19,Clear,-2.9,34,19,5.4,Concert,500,64,0,0,6,Summer,1,0,2023-01-01T01:30:00Z,2023-01-01T01:31:00Z,2023-01-01T02:29:00Z,7,Sunday,1,1,1,Morning,23,15,0,0,58,1,4,1,1,3,0.2046,-0.551,32,13.0944,8.95,85.45,13.84,76.29,-0.7479,0.6116,-1.5699,-1.5104,-0.5966,-0.7716,-0.3772,0.4707,0.089,0.9223,1.8513,-1.1847,-1.0629,-0.257,-0.5351,0.2857,0.6875,0.0525,0.058,0.322,0.27,0.1,0.6465,0.5192,0.6981,0.9767,0.2002,0.0988,0.0646,0.1398
T00009,2023-01-01,07:15:00,Train,Route_8,Station_23,Station_10,07:17:00,08:12:00,5,3,Fog,9.1,93,42,4.4,None,5000,88,0,0,6,Summer,0,0,2023-01-01T01:45:00Z,2023-01-01T01:47:00Z,2023-01-01T02:42:00Z,7,Sunday,1,1,1,Morning,8,-2,0,0,55,0,3,3,0,3,0.3015,3.822,440,26.532,9.51,79.07,13.31,74.31,-0.5884,-1.1107,-0.5245,1.391,0.7356,-0.9445,1.9237,1.2919,-1.254,-0.5897,1.5868,-0.7133,-0.1184,3.1575,0.2289,0.3333,0.1875,0.3525,0.913,0.7119,0.22,1,0.8889,0.2308,0.3774,0.907,0.2984,0.2868,0.8889,0.2833
