trip_id,date,hour,transport_type,route_id,origin_station,destination_station,actual_departure_delay_min,actual_arrival_delay_min,weather_condition,temperature_C,precipitation_mm,event_type,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,season,delayed,total_delay,delay_change,time_of_day_bucket,is_weekend,weather_severity_index,event_impact_score
T00000,2023-01-01,5,Tram,Route_15,Station_31,Station_6,12,3,Storm,5.1,13,None,500,81,0,1,6,Winter,0,15,-9,Night,1,0.7938,40.5
T00001,2023-01-01,5,Metro,Route_12,Station_49,Station_32,15,9,Rain,34,11.4,None,0,53,0,0,6,Autumn,1,24,-6,Night,1,0.2838,0
T00002,2023-01-01,5,Bus,Route_16,Station_29,Station_42,0,0,Clear,29.5,14.1,Sports,0,67,1,0,6,Autumn,0,0,0,Night,1,0.4395,0
T00003,2023-01-01,5,Tram,Route_19,Station_26,Station_18,15,10,Clear,27.4,6.4,None,500,84,0,0,6,Winter,1,25,-5,Night,1,0.3364,42
T00004,2023-01-01,6,Tram,Route_8,Station_18,Station_15,-1,14,Snow,0.1,18.5,None,500,46,0,0,6,Spring,1,13,15,Morning,1,0.8224,23
T00005,2023-01-01,6,Metro,Route_17,Station_32,Station_40,7,4,Rain,25.2,2.3,Protest,0,41,0,0,6,Spring,0,11,-3,Morning,1,0.1528,0
T00006,2023-01-01,6,Bus,Route_5,Station_22,Station_32,8,28,Storm,3.6,6.4,Parade,0,22,1,1,6,Spring,1,36,20,Morning,1,0.5093,0
T00007,2023-01-01,6,Bus,Route_16,Station_38,Station_9,0,23,Clear,34.1,0.6,None,0,85,0,0,6,Spring,1,23,23,Morning,1,0.1086,0
T00008,2023-01-01,7,Tram,Route_6,Station_17,Station_37,4,19,Clear,-2.9,5.4,Concert,500,64,0,0,6,Summer,1,23,15,Morning,1,0.2046,32
T00009,2023-01-01,7,Train,Route_8,Station_23,Station_10,5,3,Fog,9.1,4.4,None,5000,88,0,0,6,Summer,0,8,-2,Morning,1,0.3015,440
T00010,2023-01-01,7,Tram,Route_18,Station_24,Station_20,16,8,Snow,12.1,1,None,0,53,0,0,6,Winter,1,24,-8,Morning,1,0.3556,0
T00011,2023-01-01,7,Tram,Route_12,Station_50,Station_6,15,21,Cloudy,28,9.8,None,2000,91,0,0,6,Summer,1,36,6,Morning,1,0.4298,182
T00012,2023-01-01,8,Tram,Route_15,Station_8,Station_48,10,-1,Clear,25.6,9.4,Parade,0,10,0,0,6,Summer,0,9,-11,Morning,1,0.3557,0
T00013,2023-01-01,8,Tram,Route_9,Station_41,Station_3,10,22,Storm,10,1.6,None,5000,62,0,1,6,Summer,1,32,12,Morning,1,0.5761,310
T00014,2023-01-01,8,Metro,Route_13,Station_6,Station_42,16,0,Storm,17.6,5.2,None,500,21,0,0,6,Winter,0,16,-16,Morning,1,0.5158,10.5
T00015,2023-01-01,8,Bus,Route_15,Station_5,Station_11,9,11,Fog,28.4,19.1,None,500,53,0,0,6,Summer,1,20,2,Morning,1,0.5699,26.5
T00016,2023-01-01,9,Metro,Route_10,Station_44,Station_43,14,28,Storm,-4.3,2.2,Festival,0,88,0,0,6,Spring,1,42,14,Morning,1,0.6084,0
T00017,2023-01-01,9,Metro,Route_16,Station_29,Station_17,19,25,Fog,27.1,6.1,None,0,84,0,0,6,Spring,1,44,6,Morning,1,0.2592,0
T00018,2023-01-01,9,Metro,Route_7,Station_28,Station_32,9,6,Clear,32.9,0.7,None,2000,35,0,1,6,Winter,1,15,-3,Morning,1,0.075,70
T00019,2023-01-01,9,Tram,Route_17,Station_11,Station_4,10,17,Clear,-3.7,3,Festival,0,57,0,0,6,Winter,1,27,7,Morning,1,0.2023,0
T00020,2023-01-01,10,Train,Route_7,Station_1,Station_4,9,12,Clear,-3.2,14,Concert,0,19,0,0,6,Winter,1,21,3,Morning,1,0.3155,0
T00021,2023-01-01,10,Bus,Route_14,Station_43,Station_17,16,15,Clear,8.8,7.3,None,0,15,0,0,6,Autumn,1,31,-1,Morning,1,0.1968,0
T00022,2023-01-01,10,Train,Route_15,Station_19,Station_41,11,25,Cloudy,-1.5,9,None,0,91,0,0,6,Summer,1,36,14,Morning,1,0.4138,0
T00023,2023-01-01,10,Metro,Route_7,Station_9,Station_19,4,14,Snow,14.2,3.1,Festival,500,55,0,1,6,Winter,1,18,10,Morning,1,0.5857,27.5
T00024,2023-01-01,11,Metro,Route_9,Station_27,Station_5,10,12,Snow,24.1,13.6,Festival,0,92,0,0,6,Winter,1,22,2,Morning,1,0.6583,0
T00025,2023-01-01,11,Train,Route_19,Station_34,Station_32,3,-3,Cloudy,17.7,15,None,0,49,0,0,6,Winter,0,0,-6,Morning,1,0.549,0
T00026,2023-01-01,11,Train,Route_16,Station_44,Station_22,16,-2,Clear,2.9,3.6,None,0,89,1,0,6,Spring,0,14,-18,Morning,1,0.194,0
T00027,2023-01-01,11,Train,Route_8,Station_4,Station_6,16,11,Storm,21.2,0.9,None,5000,65,0,0,6,Winter,1,27,-5,Morning,1,0.5621,325
T00028,2023-01-01,12,Metro,Route_18,Station_36,Station_35,1,24,Fog,22.4,1.6,None,5000,73,0,0,6,Spring,1,25,23,Afternoon,1,0.1388,365
T00029,2023-01-01,12,Metro,Route_18,Station_18,Station_22,16,-3,Snow,32.3,13.1,Sports,0,12,0,1,6,Spring,0,13,-19,Afternoon,1,0.7856,0
T00030,2023-01-01,12,Bus,Route_20,Station_15,Station_1,6,1,Rain,0.9,2.7,None,0,14,0,0,6,Autumn,0,7,-5,Afternoon,1,0.2269,0
T00031,2023-01-01,12,Bus,Route_7,Station_13,Station_20,13,18,Fog,22.7,9.9,Sports,0,72,0,1,6,Winter,1,31,5,Afternoon,1,0.3403,0
T00032,2023-01-01,13,Metro,Route_3,Station_19,Station_22,1,9,Rain,31.5,3.1,Concert,0,26,0,0,6,Autumn,1,10,8,Afternoon,1,0.1637,0
T00033,2023-01-01,13,Train,Route_18,Station_49,Station_48,3,-3,Rain,15.1,3.4,Sports,2000,7,0,1,6,Winter,0,0,-6,Afternoon,1,0.3476,14
T00034,2023-01-01,13,Train,Route_10,Station_6,Station_11,5,12,Clear,9.5,0.1,Festival,0,69,0,0,6,Summer,1,17,7,Afternoon,1,0.0325,0
T00035,2023-01-01,13,Bus,Route_7,Station_48,Station_13,13,18,Rain,1.8,6.4,None,0,99,0,0,6,Winter,1,31,5,Afternoon,1,0.1839,0
T00036,2023-01-01,14,Metro,Route_17,Station_12,Station_42,2,28,Clear,29.7,1.8,None,0,49,0,1,6,Winter,1,30,26,Afternoon,1,0.2139,0
T00037,2023-01-01,14,Bus,Route_14,Station_37,Station_3,18,12,Cloudy,10.8,7.9,Concert,5000,87,0,0,6,Winter,1,30,-6,Afternoon,1,0.2749,435
T00038,2023-01-01,14,Bus,Route_3,Station_17,Station_9,19,11,Storm,32,12,Protest,5000,66,0,0,6,Winter,1,30,-8,Afternoon,1,0.6975,330
T00039,2023-01-01,14,Tram,Route_12,Station_23,Station_12,7,8,Rain,28.9,7.4,None,2000,25,0,1,6,Winter,1,15,1,Afternoon,1,0.2801,50
T00040,2023-01-01,15,Tram,Route_13,Station_26,Station_23,10,-3,Storm,10.1,14.1,Protest,0,35,0,0,6,Winter,0,7,-13,Afternoon,1,0.7395,0
